Mã hàng,Mô tả hàng hoá - Tiếng Việt,"Chính sách mặt hàng
theo mã HS"
87045122,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045123,- - - - Ô tô xi téc; ô tô chở xi măng kiểu bồn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045124,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045125,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045126,- - - - Ô tô pick-up (1),HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045127,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045129,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
870452,- - Khối lượng toàn bộ theo thiết kế (SEN) trên 5 tấn:,
,- - - Khối lượng toàn bộ theo thiết kế (SEN) không quá 6 tấn:,
,- - - - Dạng CKD (SEN):,
87045211,- - - - - Ô tô tải đông lạnh (1),HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045219,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - - - Loại khác:,
87045221,- - - - - Ô tô tải đông lạnh (1),HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045222,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045223,- - - - - Ô tô xi téc; ô tô chở xi măng kiểu bồn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045224,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045225,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045229,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - - Khối lượng toàn bộ theo thiết kế (SEN) trên 6 tấn nhưng không quá 20 tấn:,
,- - - - Dạng CKD (SEN):,
87045231,- - - - - Ô tô tải đông lạnh (1),HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045239,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - - - Loại khác:,
87045241,- - - - - Ô tô tải đông lạnh (1),HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045242,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045243,- - - - - Ô tô xi téc; ô tô chở xi măng kiểu bồn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045244,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045245,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045248,"- - - - - Loại khác, khối lượng toàn bộ theo thiết kế (SEN) trên 6 tấn nhưng không quá 10 tấn",HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045249,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - - Khối lượng toàn bộ theo thiết kế (SEN) trên 20 tấn nhưng không quá 24 tấn:,
,- - - - Dạng CKD (SEN):,
87045251,- - - - - Ô tô tải đông lạnh (1),HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045259,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - - - Loại khác:,
87045261,- - - - - Ô tô tải đông lạnh (1),HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045262,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045263,- - - - - Ô tô xi téc; ô tô chở xi măng kiểu bồn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045264,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045265,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045269,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - - Khối lượng toàn bộ theo thiết kế (SEN) trên 24 tấn nhưng không quá 45 tấn:,
,- - - - Dạng CKD (SEN):,
87045272,- - - - - Ô tô tải đông lạnh (1),HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045279,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - - - Loại khác:,
87045281,- - - - - Ô tô tải đông lạnh (1),HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045282,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045283,- - - - - Ô tô xi téc; ô tô chở xi măng kiểu bồn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045284,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045285,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045286,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045289,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - - Khối lượng toàn bộ theo thiết kế (SEN) trên 45 tấn:,
,- - - - Dạng CKD (SEN):,
87045291,- - - - - Ô tô tải đông lạnh (1),HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045292,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - - - Loại khác:,
87045293,- - - - - Ô tô tải đông lạnh (1),HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045294,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87045299,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
870460,"- Loại khác, chỉ sử dụng động cơ điện để tạo động lực:",
,- - Dạng CKD (SEN):,
87046011,- - - Ô tô pick-up (1),HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87046012,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87046019,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,"- - Loại khác, khối lượng toàn bộ theo thiết kế (SEN) không quá 5 tấn:",
87046021,- - - Ô tô pick-up (1),HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87046022,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87046029,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - Loại khác:,
87046091,- - - Khối lượng toàn bộ theo thiết kế (SEN) trên 5 tấn nhưng không quá 10 tấn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87046092,- - - Khối lượng toàn bộ theo thiết kế (SEN) trên 10 tấn nhưng không quá 20 tấn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87046093,- - - Khối lượng toàn bộ theo thiết kế (SEN) trên 20 tấn nhưng không quá 45 tấn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87046094,- - - Khối lượng toàn bộ theo thiết kế (SEN) trên 45 tấn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
870490,- Loại khác:,
87049010,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - Loại khác:,
87049091,- - - Khối lượng toàn bộ theo thiết kế (SEN) không quá 5 tấn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87049092,- - - Khối lượng toàn bộ theo thiết kế (SEN) trên 5 tấn nhưng không quá 10 tấn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87049093,- - - Khối lượng toàn bộ theo thiết kế (SEN) trên 10 tấn nhưng không quá 20 tấn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87049094,- - - Khối lượng toàn bộ theo thiết kế (SEN) trên 20 tấn nhưng không quá 45 tấn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87049095,- - - Khối lượng toàn bộ theo thiết kế (SEN) trên 45 tấn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe tự đổ Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
8705,"Xe chuyên dùng có động cơ, trừ các loại được thiết kế chủ yếu dùng để chở người hoặc hàng hóa (ví dụ, xe cứu hộ, xe cần cẩu, xe chữa cháy, xe trộn bê tông, xe quét đường, xe phun tưới, xe sửa chữa lưu động, xe chụp X-quang)",
87051000,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe cần cẩu bánh xích (cần trục bánh xích) - Loại có buồng lái và buồng điều khiển cơ cấu công tác riêng biệt Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87052000,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
87053000,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
87054000,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Xe trộn và vận chuyển bê tông (xe trộn bê tông) Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
870590,- Loại khác:,
87059050,"- - Xe làm sạch đường; xe hút bùn, bể phốt; xe y tế lưu động; xe phun tưới các loại",HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87059060,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
87059090,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1); Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
8706,"Khung gầm đã lắp động cơ, dùng cho xe có động cơ thuộc các nhóm từ 87.01 đến 87.05",
,- Dùng cho xe thuộc nhóm 87.01:,
87060011,- - Dùng cho máy kéo nông nghiệp thuộc nhóm 87.01,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
87060019,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
,- Dùng cho xe thuộc nhóm 87.02:,
87060021,"- - Dùng cho ô tô (bao gồm cả ô tô limousine kéo dài nhưng không bao gồm ô tô khách (1) (coaches, buses, minibuses) hoặc ô tô van) ",HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
87060022,"- - Loại khác, dùng cho xe có khối lượng toàn bộ theo thiết kế (SEN) không quá 24 tấn",HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
87060023,"- - Loại khác, dùng cho xe có khối lượng toàn bộ theo thiết kế (SEN) trên 24 tấn",HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
,- Dùng cho xe thuộc nhóm 87.03:,
87060031,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
87060032,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
87060033,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
87060034,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
87060039,#NAME?,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
,- Dùng cho xe thuộc nhóm 87.04:,
87060041,- - Dùng cho xe có khối lượng toàn bộ theo thiết kế (SEN) không quá 24 tấn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
87060042,- - Dùng cho xe có khối lượng toàn bộ theo thiết kế (SEN) trên 24 tấn,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
87060050,- Dùng cho xe thuộc nhóm 87.05,HHNK phải chứng nhận trước khi thông quan (12/2022/TT-BGTVT PL1)
8707,"Thân xe (kể cả ca-bin), dùng cho xe có động cơ thuộc các nhóm từ 87.01 đến 87.05",
870710,- Dùng cho xe thuộc nhóm 87.03:,
87071010,#NAME?,
87071020,#NAME?,
87071030,#NAME?,
87071090,#NAME?,
870790,- Loại khác:,
,- - Dùng cho xe thuộc nhóm 87.01:,
87079011,"- - - Cabin lái dùng cho xe thuộc phân nhóm 8701.21, 8701.22, 8701.23, 8701.24 hoặc 8701.29",
87079019,#NAME?,
,- - Dùng cho xe thuộc nhóm 87.02:,
87079021,"- - - Dùng cho ô tô (bao gồm cả ô tô limousine kéo dài nhưng không bao gồm ô tô khách (1) (coaches, buses, minibuses) hoặc ô tô van) ",
87079029,#NAME?,
87079030,- - Dùng cho xe thuộc nhóm 87.05,
87079040,#NAME?,
87079090,#NAME?,
8708,Bộ phận và phụ kiện của xe có động cơ thuộc các nhóm từ 87.01 đến 87.05,
870810,- Thanh chắn chống va đập (ba đờ xốc) và bộ phận của nó:,
87081010,- - Dùng cho xe thuộc nhóm 87.01,
87081090,#NAME?,
,- Bộ phận và phụ kiện khác của thân xe (kể cả ca-bin):,
87082100,#NAME?,
870822,"- - Kính chắn gió phía trước (kính chắn gió), kính cửa phía sau và các kính cửa khác được mô tả tại Chú giải Phân nhóm 1 Chương này:",
87082210,- - - Dùng cho xe thuộc nhóm 87.01,
87082220,- - - Dùng cho xe thuộc nhóm 87.03,
87082230,"- - - Dùng cho xe thuộc nhóm 87.02, 87.04 hoặc 87.05",
870829,- - Loại khác:,
,- - - Các bộ phận của cửa xe:,
87082911,- - - - Dùng cho xe thuộc nhóm 87.01,
87082915,- - - - Đỡ tay trên cửa xe dùng cho xe thuộc nhóm 87.03,
87082916,"- - - - Loại khác, dùng cho xe thuộc nhóm 87.03",
87082917,- - - - Dùng cho xe thuộc phân nhóm 8704.10,
87082918,- - - - Dùng cho xe thuộc nhóm 87.02 hoặc xe khác thuộc nhóm 87.04,
87082919,#NAME?,
87082920,#NAME?,
,- - - Loại khác:,
87082992,- - - - Dùng cho xe thuộc nhóm 87.01,
,- - - - Dùng cho xe thuộc nhóm 87.03:,
87082993,- - - - - Phụ kiện trang trí nội thất (SEN); chắn bùn ,
87082994,#NAME?,
87082995,#NAME?,
,- - - - Dùng cho xe thuộc nhóm 87.02 hoặc 87.04:,
87082996,- - - - - Phụ kiện trang trí nội thất (SEN); chắn bùn ,
87082997,#NAME?,
87082998,#NAME?,
87082999,#NAME?,
870830,- Phanh và trợ lực phanh; bộ phận của nó:,
87083010,- - Dùng cho xe thuộc nhóm 87.01,
,- - Dùng cho xe thuộc nhóm 87.03:,
87083021,#NAME?,
87083029,#NAME?,
87083030,"- - Phanh trống, phanh đĩa hoặc phanh hơi cho xe thuộc nhóm 87.02 hoặc 87.04",
87083090,#NAME?,
870840,- Hộp số và bộ phận của chúng:,
,"- - Hộp số, chưa lắp hoàn chỉnh:",
87084011,- - - Dùng cho xe thuộc nhóm 87.03,
87084013,- - - Dùng cho xe thuộc nhóm 87.04 hoặc 87.05,
87084014,- - - Dùng cho xe thuộc nhóm 87.01,
87084019,#NAME?,
,"- - Hộp số, đã lắp ráp hoàn chỉnh:",
87084025,- - - Dùng cho xe thuộc nhóm 87.01,
87084026,- - - Dùng cho xe thuộc nhóm 87.03,
87084027,- - - Dùng cho xe thuộc nhóm 87.04 hoặc 87.05,
87084029,#NAME?,
,- - Bộ phận:,
87084091,- - - Dùng cho xe thuộc nhóm 87.01,
87084092,- - - Dùng cho xe thuộc nhóm 87.03,
87084099,#NAME?,
870850,"- Cầu chủ động có vi sai, có hoặc không kèm theo chi tiết truyền lực khác, và các cầu bị động; các bộ phận của chúng:",
,- - Chưa lắp ráp hoàn chỉnh:,
87085011,- - - Dùng cho xe thuộc nhóm 87.03,
87085013,- - - Dùng cho xe thuộc nhóm 87.04 hoặc 87.05,
87085015,- - - Dùng cho xe thuộc nhóm 87.01,
87085019,#NAME?,
,- - Đã lắp ráp hoàn chỉnh:,
87085025,- - - Dùng cho xe thuộc nhóm 87.01,
87085026,- - - Dùng cho xe thuộc nhóm 87.03,
87085027,- - - Dùng cho xe thuộc nhóm 87.04 hoặc 87.05,
87085029,#NAME?,
,- - Bộ phận:,
,- - - Dùng cho xe thuộc nhóm 87.01:,
87085091,#NAME?,
87085092,#NAME?,
,- - - Dùng cho xe thuộc nhóm 87.03:,
87085094,#NAME?,
87085095,#NAME?,
,- - - Loại khác:,
87085096,#NAME?,
87085099,#NAME?,
870870,- Cụm bánh xe và bộ phận và phụ kiện của chúng:,
,- - Ốp đầu trục bánh xe:,
87087015,- - - Dùng cho xe thuộc nhóm 87.01,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87087016,- - - Dùng cho xe thuộc nhóm 87.03,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - - Dùng cho xe thuộc nhóm 87.02 hoặc 87.04:,
87087017,- - - - Dùng cho xe thuộc phân nhóm 8704.10,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87087018,#NAME?,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87087019,#NAME?,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - Bánh xe đã được lắp lốp:,
87087021,- - - Dùng cho xe thuộc nhóm 87.01,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87087022,- - - Dùng cho xe thuộc nhóm 87.03,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87087023,- - - Dùng cho xe thuộc nhóm 87.02 hoặc 87.04 (trừ phân nhóm 8704.10),Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87087029,#NAME?,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - Bánh xe chưa được lắp lốp:,
87087031,- - - Dùng cho xe thuộc nhóm 87.01,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87087032,- - - Dùng cho xe thuộc nhóm 87.03,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87087033,- - - Dùng cho xe tự đổ được thiết kế để sử dụng trên các loại đường không phải đường quốc lộ có khối lượng toàn bộ theo thiết kế (SEN) trên 45 tấn,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87087034,- - - Dùng cho xe thuộc nhóm 87.02 hoặc xe khác thuộc nhóm 87.04,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87087039,#NAME?,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
,- - Loại khác:,
87087095,- - - Dùng cho xe thuộc nhóm 87.01,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87087096,- - - Dùng cho thuộc nhóm 87.02 hoặc 87.04,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87087097,- - - Dùng cho xe thuộc nhóm 87.03,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
87087099,#NAME?,Vành hợp kim nhẹ dùng cho xe ô tô Phải chứng nhận công bố hợp quy (12/2022/TT-BGTVT PL2)
870880,- Hệ thống giảm chấn và bộ phận của nó (kể cả giảm sóc): ,
,- - Hệ thống giảm chấn: ,
87088015,- - - Dùng cho xe thuộc nhóm 87.01,
87088016,- - - Dùng cho xe thuộc nhóm 87.03,
87088017,- - - Dùng cho xe thuộc phân nhóm 8704.10 hoặc nhóm 87.05 ,
87088019,#NAME?,
,- - Bộ phận:,
87088091,- - - Dùng cho xe thuộc nhóm 87.01,
87088092,- - - Dùng cho xe thuộc nhóm 87.03,
87088099,#NAME?,
,- Các bộ phận và phụ kiện khác:,
870891,- - Két nước làm mát và bộ phận của chúng:,
,- - - Két nước làm mát:,
87089115,- - - - Dùng cho xe thuộc nhóm 87.01,
87089116,- - - - Dùng cho xe thuộc nhóm 87.03,
,- - - - Dùng cho xe thuộc nhóm 87.02 hoặc 87.04:,
87089117,- - - - - Dùng cho xe thuộc phân nhóm 8704.10,
87089118,#NAME?,
87089119,#NAME?,
,- - - Bộ phận:,
87089191,- - - - Dùng cho xe thuộc nhóm 87.01,
87089193,- - - - Nút xả(SEN) dùng cho xe thuộc nhóm 87.03 ,
87089194,- - - - Nút xả(SEN) dùng cho xe thuộc nhóm 87.02 hoặc 87.04 (trừ loại thuộc phân nhóm 8704.10),
87089195,"- - - - Loại khác, dùng cho xe thuộc nhóm 87.03",
87089199,#NAME?,
870892,- - Ống xả và bộ giảm thanh; bộ phận của chúng:,
87089210,- - - Dùng cho xe thuộc nhóm 87.01,
87089220,- - - Dùng cho xe thuộc nhóm 87.03,
,- - - Dùng cho xe thuộc phân nhóm 8704.10: ,
87089251,#NAME?,
87089252,#NAME?,
,- - - Dùng cho xe thuộc nhóm 87.02 hoặc xe khác thuộc nhóm 87.04: ,
87089261,#NAME?,
87089262,#NAME?,
87089290,#NAME?,
870893,- - Bộ ly hợp và các bộ phận của nó:,
87089350,- - - Dùng cho xe thuộc nhóm 87.01,
87089360,- - - Dùng cho xe thuộc nhóm 87.03,
87089370,- - - Dùng cho xe thuộc nhóm 87.04 hoặc 87.05,
87089390,#NAME?,
870894,"- - Vô lăng, trụ lái và cơ cấu lái; bộ phận của chúng:",
,- - - Vô lăng lắp với túi khí hoàn chỉnh:,
