hscode,mota
85094000,- Máy nghiền và trộn thức ăn; máy ép quả hoặc rau
850980,- Thiết bị khác:
85098010,- - Máy đánh bóng sàn nhà
85098020,- - Thiết bị tiêu hủy chất thải nhà bếp
85098090,- - Loại khác
850990,- Bộ phận:
85099010,- - Của hàng hóa thuộc phân nhóm 8509.80.10
85099090,- - Loại khác
8510,"Máy cạo, tông đơ và các dụng cụ loại bỏ râu, lông, tóc, có động cơ điện gắn liền"
85101000,- Máy cạo
85102000,- Tông đơ 
85103000,"- Dụng cụ loại bỏ râu, lông, tóc"
85109000,- Bộ phận
8511,"Thiết bị đánh lửa hoặc khởi động bằng điện loại dùng cho động cơ đốt trong đốt cháy bằng tia lửa điện hoặc cháy do nén (ví dụ, magneto đánh lửa, dynamo magneto, cuộn dây đánh lửa, bugi đánh lửa và bugi sấy, động cơ khởi động); máy phát điện (ví dụ, dynamo, alternator) và thiết bị ngắt mạch loại được sử dụng cùng các động cơ nêu trên"
851110,- Bugi đánh lửa:
85111010,- - Loại dùng cho động cơ của phương tiện bay
85111020,- - Sử dụng cho động cơ ô tô
85111090,- - Loại khác
851120,- Magneto đánh lửa; dynamo mangneto; bánh đà từ tính:
85112010,- - Loại dùng cho động cơ của phương tiện bay
#3738,- - Sử dụng cho động cơ ô tô:
85112021,- - - Loại chưa được lắp ráp 
85112029,- - - Loại khác
#3739,- - Loại khác:
85112091,- - - Loại chưa được lắp ráp 
85112099,- - - Loại khác
851130,- Bộ phân phối điện; cuộn dây đánh lửa:
85113030,- - Loại dùng cho động cơ của phương tiện bay
#3740,- - Sử dụng cho động cơ ô tô:
85113041,- - - Loại chưa được lắp ráp 
85113049,- - - Loại khác
#3741,- - Loại khác:
85113091,- - - Loại chưa được lắp ráp 
85113099,- - - Loại khác
851140,- Động cơ khởi động và máy tổ hợp hai tính năng khởi động và phát điện:
85114010,- - Loại dùng cho động cơ của phương tiện bay
#3742,- - Động cơ khởi động khác chưa lắp ráp:
85114021,"- - - Sử dụng cho động cơ của xe thuộc nhóm 87.02, 87.03, 87.04 hoặc 87.05"
85114029,- - - Loại khác
#3743,- - Động cơ khởi động đã lắp ráp sử dụng cho động cơ của xe thuộc các nhóm từ 87.01 đến 87.05:
85114031,- - - Sử dụng cho động cơ của xe thuộc nhóm 87.01 
85114032,"- - - Sử dụng cho động cơ của xe thuộc nhóm 87.02, 87.03 hoặc 87.04"
85114033,- - - Sử dụng cho động cơ của xe thuộc nhóm 87.05
#3744,- - Loại khác:
85114091,"- - - Sử dụng cho động cơ của xe thuộc nhóm 87.02, 87.03, 87.04 hoặc 87.05"
85114099,- - - Loại khác
851150,- Máy phát điện khác:
85115010,- - Loại dùng cho động cơ của phương tiện bay
#3745,- - Máy phát điện xoay chiều khác chưa lắp ráp:
85115021,"- - - Sử dụng cho động cơ của xe thuộc nhóm 87.02, 87.03, 87.04 hoặc 87.05"
85115029,- - - Loại khác
#3746,- - Máy phát điện xoay chiều đã lắp ráp dùng cho động cơ của xe thuộc các nhóm từ 87.01 đến 87.05:
85115031,- - - Sử dụng cho động cơ của xe thuộc nhóm 87.01 
85115032,"- - - Sử dụng cho động cơ của xe thuộc nhóm 87.02, 87.03 hoặc 87.04"
85115033,- - - Sử dụng cho động cơ của xe thuộc nhóm 87.05
#3747,- - Loại khác:
85115091,"- - - Sử dụng cho động cơ của xe thuộc nhóm 87.02, 87.03, 87.04 hoặc 87.05"
85115099,- - - Loại khác
851180,- Thiết bị khác:
85118010,- - Loại dùng cho động cơ của phương tiện bay
85118020,- - Sử dụng cho động cơ ô tô
85118090,- - Loại khác
851190,- Bộ phận:
85119010,- - Loại dùng cho động cơ của phương tiện bay
85119020,- - Sử dụng cho động cơ ô tô
85119090,- - Loại khác
8512,"Thiết bị chiếu sáng hoặc thiết bị tín hiệu hoạt động bằng điện (trừ loại thuộc nhóm 85.39), gạt nước, gạt và chống tạo sương và tuyết trên kính chắn, loại dùng cho xe đạp hoặc xe có động cơ"
85121000,- Thiết bị chiếu sáng hoặc tạo tín hiệu trực quan dùng cho xe đạp
851220,- Thiết bị chiếu sáng hoặc tạo tín hiệu trực quan khác:
85122020,- - Thiết bị chiếu sáng hoặc tạo tín hiệu trực quan chưa lắp ráp
#3748,- - Loại khác:
85122091,- - - Dùng cho xe máy
85122099,- - - Loại khác
851230,- Thiết bị tín hiệu âm thanh:
85123010,"- - Còi, đã lắp ráp"
85123020,- - Thiết bị tín hiệu âm thanh chưa lắp ráp
#3749,- - Loại khác:
85123091,- - - Thiết bị dò chướng ngại vật (cảnh báo) cho xe
85123099,- - - Loại khác
85124000,"- Cái gạt nước, gạt và chống tạo sương và tuyết"
851290,- Bộ phận:
85129010,- - Của hàng hóa thuộc phân nhóm 8512.10
85129020,"- - Của hàng hóa thuộc phân nhóm 8512.20, 8512.30 hoặc 8512.40"
8513,"Đèn điện xách tay được thiết kế để hoạt động bằng nguồn năng lượng riêng của nó (ví dụ, pin khô, ắc qui, magneto), trừ thiết bị chiếu sáng thuộc nhóm 85.12"
851310,- Đèn:
85131030,- - Đèn gắn trên mũ thợ mỏ và đèn thợ khai thác đá 
85131090,- - Loại khác
851390,- Bộ phận:
85139010,- - Của đèn gắn trên mũ thợ mỏ hoặc của đèn thợ khai thác đá
85139030,- - Bộ phản quang của đèn chớp; chi tiết trượt (gạt) bằng plastic dùng cho cơ cấu công tắc đèn chớp 
85139090,- - Loại khác
8514,"Lò luyện, nung và lò sấy điện dùng trong công nghiệp hoặc trong phòng thí nghiệm (kể cả các loại hoạt động bằng cảm ứng điện hoặc tổn hao điện môi); các thiết bị khác dùng trong công nghiệp hoặc trong phòng thí nghiệm để xử lý nhiệt các vật liệu bằng cảm ứng điện hoặc tổn hao điện môi"
#3750,"- Lò luyện, nung và lò sấy gia nhiệt bằng điện trở:"
85141100,- - Lò ép nóng đẳng tĩnh
85141900,- - Loại khác
851420,"- Lò luyện, nung và lò sấy hoạt động bằng cảm ứng điện hoặc tổn hao điện môi:"
85142020,"- - Lò luyện, nung hoặc lò sấy điện cho sản xuất tấm mạch in/tấm dây in hoặc mạch in đã lắp ráp"
85142090,- - Loại khác
#3751,"- Lò luyện, nung và lò sấy khác:"
851431,- - Lò tia điện tử (tia electron): 
85143110,- - - Để sản xuất tấm mạch in/tấm dây in hoặc tấm mạch in đã lắp ráp
85143190,- - - Loại khác
851432,- - Lò hồ quang plasma và chân không: 
85143210,- - - Để sản xuất tấm mạch in/tấm dây in hoặc tấm mạch in đã lắp ráp
85143290,- - - Loại khác
851439,- - Loại khác:
85143910,- - - Để sản xuất tấm mạch in/tấm dây in hoặc tấm mạch in đã lắp ráp
85143990,- - - Loại khác
85144000,- Thiết bị khác để xử lý nhiệt các vật liệu bằng cảm ứng điện hoặc tổn hao điện môi
851490,- Bộ phận:
85149020,"- - Bộ phận của lò luyện, nung hoặc lò sấy điện dùng trong công nghiệp hoặc phòng thí nghiệm cho sản xuất tấm mạch in/tấm dây in hoặc mạch in đã lắp ráp"
85149090,- - Loại khác
8515,"Máy và thiết bị hàn các loại dùng điện (kể cả khí ga nung nóng bằng điện), dùng chùm tia laser hoặc chùm tia sáng khác hoặc chùm phô-tông, siêu âm, chùm electron, xung từ hoặc hồ quang, có hoặc không có khả năng cắt; máy và thiết bị dùng điện để xì nóng kim loại hoặc gốm kim loại"
#3752,"- Máy và thiết bị để hàn chảy (nguyên lý hàn thiếc, chỉ có phần nguyên liệu hàn được làm nóng chảy, đối tượng được hàn không bị nóng chảy):"
85151100,- - Mỏ hàn sắt và súng hàn
851519,- - Loại khác:
#3753,- - - Máy và thiết bị hàn các linh kiện trên tấm mạch in/tấm dây in: 
85151911,- - - - Máy hàn sóng 
85151919,- - - - Loại khác
85151990,- - - Loại khác
#3754,- Máy và thiết bị để hàn kim loại bằng nguyên lý điện trở:
85152100,- - Loại tự động hoàn toàn hoặc một phần
85152900,- - Loại khác
#3755,- Máy và thiết bị hàn hồ quang kim loại (kể cả hồ quang plasma):
85153100,- - Loại tự động hoàn toàn hoặc một phần
851539,- - Loại khác:
85153910,"- - - Máy hàn hồ quang dùng điện xoay chiều, kiểu biến thế"
85153990,- - - Loại khác
851580,- Máy và thiết bị khác:
85158010,- - Máy và thiết bị điện để xì nóng kim loại hoặc carbua kim loại đã thiêu kết
85158090,- - Loại khác
851590,- Bộ phận:
85159010,"- - Của máy hàn hồ quang điện xoay chiều, kiểu biến thế"
#3756,- - Các bộ phận của máy và thiết bị để hàn các linh kiện trên tấm mạch in/tấm dây in: 
85159021,- - - Của máy hàn sóng
85159029,- - - Loại khác
85159090,- - Loại khác
8516,"Dụng cụ điện đun nước nóng tức thời hoặc đun nước nóng có dự trữ và đun nước nóng kiểu nhúng; dụng cụ điện làm nóng không gian và làm nóng đất; dụng cụ nhiệt điện làm tóc (ví dụ, máy sấy tóc, máy uốn tóc, dụng cụ kẹp uốn tóc) và máy sấy làm khô tay; bàn là điện; dụng cụ nhiệt điện gia dụng khác; các loại điện trở đốt nóng bằng điện, trừ loại thuộc nhóm 85.45"
851610,- Dụng cụ điện đun nước nóng tức thời hoặc đun nước nóng có dự trữ và đun nước nóng kiểu nhúng:
#3757,- - Loại đun nước nóng tức thời hoặc đun nước nóng có dự trữ:
85161011,"- - - Bình thủy điện (water dispenser) đun nước nóng, loại gia dụng (SEN)"
85161019,- - - Loại khác
85161030,- - Loại đun nước nóng kiểu nhúng
#3758,- Dụng cụ điện làm nóng không gian và làm nóng đất:
85162100,- - Loại bức xạ giữ nhiệt
85162900,- - Loại khác
#3759,- Dụng cụ làm tóc hoặc máy sấy làm khô tay nhiệt điện:
85163100,- - Máy sấy khô tóc
85163200,- - Dụng cụ làm tóc khác
85163300,- - Máy sấy làm khô tay
851640,- Bàn là điện:
85164010,- - Loại được thiết kế sử dụng hơi nước từ hệ thống nồi hơi công nghiệp
85164090,- - Loại khác
85165000,- Lò vi sóng
851660,"- Các loại lò khác; nồi nấu, bếp đun dạng tấm đun, vòng đun sôi, thiết bị kiểu vỉ nướng và lò nướng:"
85166010,- - Nồi nấu cơm
85166090,- - Loại khác
#3760,- Dụng cụ nhiệt điện khác:
85167100,- - Dụng cụ pha chè hoặc cà phê
85167200,- - Lò nướng bánh (toasters)
851679,- - Loại khác:
85167910,- - - Ấm đun nước
85167990,- - - Loại khác
851680,- Điện trở đốt nóng bằng điện:
85168010,- - Dùng cho máy đúc chữ hoặc máy sắp chữ; dùng cho lò công nghiệp
85168030,- - Dùng cho thiết bị gia dụng
85168090,- - Loại khác
851690,- Bộ phận:
#3761,"- - Của hàng hóa thuộc phân nhóm 8516.33, 8516.50, 8516.60, 8516.71 hoặc 8516.79.10:"
85169021,- - - Các tấm toả nhiệt (sealed hotplates) dùng cho thiết bị gia dụng
85169029,- - - Loại khác
85169030,- - Của hàng hóa thuộc phân nhóm 8516.10
85169040,- - Của điện trở đốt nóng bằng điện dùng cho máy đúc chữ hoặc máy sắp chữ
85169090,- - Loại khác
8517,"Bộ điện thoại, kể cả điện thoại thông minh và điện thoại khác cho mạng di động tế bào hoặc mạng không dây khác; thiết bị khác để truyền hoặc nhận tiếng, hình ảnh hoặc dữ liệu khác, kể cả các thiết bị viễn thông nối mạng hữu tuyến hoặc không dây (như loại sử dụng trong mạng nội bộ hoặc mạng diện rộng), trừ loại thiết bị truyền hoặc thu của nhóm 84.43, 85.25, 85.27 hoặc 85.28"
#3762,"- Bộ điện thoại, kể cả điện thoại thông minh và điện thoại khác cho mạng di động tế bào hoặc mạng không dây khác:"
85171100,- - Bộ điện thoại hữu tuyến với điện thoại cầm tay không dây
85171300,- - Điện thoại thông minh
85171400,- - Điện thoại khác cho mạng di động tế bào hoặc mạng không dây khác
85171800,- - Loại khác
#3763,"- Thiết bị khác để phát hoặc nhận tiếng, hình ảnh hoặc dữ liệu khác, kể cả thiết bị thông tin hữu tuyến hoặc không dây (như loại sử dụng trong mạng nội bộ hoặc mạng diện rộng):"
85176100,- - Thiết bị trạm gốc
851762,"- - Máy thu, đổi và truyền hoặc tái tạo âm thanh, hình ảnh hoặc dạng dữ liệu khác, kể cả thiết bị chuyển mạch và thiết bị định tuyến:"
85176210,- - - Thiết bị phát và thu sóng vô tuyến sử dụng cho phiên dịch trực tiếp tại các hội nghị sử dụng nhiều thứ tiếng
85176230,- - - Thiết bị chuyển mạch điện báo hoặc điện thoại
#3764,- - - Thiết bị dùng cho hệ thống hữu tuyến sóng mang hoặc hệ thống hữu tuyến kỹ thuật số:
85176241,- - - - Bộ điều chế/giải điều chế (modems) kể cả loại sử dụng cáp nối và dạng thẻ cắm
85176242,- - - - Bộ tập trung hoặc bộ dồn kênh
85176243,"- - - - Bộ điều khiển và bộ thích ứng (adaptor), kể cả cổng nối, cầu nối, bộ định tuyến và các thiết bị tương tự khác được thiết kế chỉ để kết nối với máy xử lý dữ liệu tự động thuộc nhóm 84.71 "
85176249,- - - - Loại khác
#3765,- - - Thiết bị truyền dẫn khác kết hợp với thiết bị thu:
85176251,- - - - Thiết bị mạng nội bộ không dây 
85176252,- - - - Thiết bị phát và thu dùng cho phiên dịch trực tiếp tại các hội nghị sử dụng nhiều thứ tiếng
85176253,- - - - Thiết bị phát khác dùng cho điện báo hoặc điện thoại truyền dẫn dưới dạng sóng vô tuyến
85176259,- - - - Loại khác
#3766,- - - Thiết bị truyền dẫn khác:
85176261,- - - - Dùng cho điện báo hoặc điện thoại truyền dẫn dưới dạng sóng vô tuyến
85176269,- - - - Loại khác
#3767,- - - Loại khác:
85176291,"- - - - Thiết bị thu xách tay để gọi, báo hiệu hoặc nhắn tin và thiết bị cảnh báo bằng tin nhắn, kể cả máy nhắn tin"
85176292,- - - - Dùng cho điện báo hoặc điện thoại truyền dẫn dưới dạng sóng vô tuyến
85176299,- - - - Loại khác
85176900,- - Loại khác
#3768,- Bộ phận:
85177100,- - Ăng ten và bộ phản xạ của ăng ten; các bộ phận sử dụng kèm
851779,- - Loại khác:
85177910,"- - - Của bộ điều khiển và bộ thích ứng (adaptor) kể cả cổng nối, cầu nối và bộ định tuyến"
#3769,"- - - Của thiết bị truyền dẫn, trừ loại dùng cho phát thanh sóng vô tuyến hoặc thiết bị phát truyền hình, hoặc của loại thiết bị thu xách tay để gọi, báo hiệu hoặc nhắn tin và thiết bị cảnh báo bằng tin nhắn, kể cả máy nhắn tin:"
85177921,- - - - Của điện thoại di động (cellular telephones)
85177929,- - - - Loại khác
#3770,"- - - Tấm mạch in khác, đã lắp ráp:"
85177931,- - - - Dùng cho điện thoại hoặc điện báo hữu tuyến
85177932,- - - - Dùng cho điện báo hoặc điện thoại truyền dẫn dưới dạng sóng vô tuyến
85177939,- - - - Loại khác
#3771,- - - Loại khác:
85177991,- - - - Dùng cho điện thoại hoặc điện báo hữu tuyến
85177992,- - - - Dùng cho điện báo hoặc điện thoại truyền dẫn dưới dạng sóng vô tuyến
85177999,- - - - Loại khác
8518,"Micro và giá đỡ micro; loa, đã hoặc chưa lắp ráp vào trong vỏ loa; tai nghe có khung chụp qua đầu và tai nghe không có khung chụp qua đầu, có hoặc không ghép nối với một micro, và các bộ gồm có một micro và một hoặc nhiều loa; thiết bị điện khuếch đại âm tần; bộ tăng âm điện"
851810,- Micro và giá đỡ micro:
#3772,- - Micro:
85181011,"- - - Micro có dải tần số từ 300 Hz đến 3.400 Hz, với đường kính không quá 10 mm và cao không quá 3 mm, dùng trong viễn thông"
85181019,"- - - Micro khác, đã hoặc chưa lắp ráp cùng với giá đỡ micro"
85181090,- - Loại khác
#3773,"- Loa, đã hoặc chưa lắp vào vỏ loa:"
851821,"- - Loa đơn, đã lắp vào vỏ loa:"
85182110,- - - Loa thùng
85182190,- - - Loại khác
851822,"- - Bộ loa, đã lắp vào cùng một vỏ loa:"
85182210,- - - Loa thùng
85182290,- - - Loại khác
851829,- - Loại khác:
85182920,"- - - Loa, không có vỏ, có dải tần số 300 Hz đến 3.400 Hz, với đường kính không quá 50 mm, dùng trong viễn thông"
85182990,- - - Loại khác
851830,"- Tai nghe có khung chụp qua đầu và tai nghe không có khung chụp qua đầu, có hoặc không nối với một micro, và các bộ gồm một micro và một hoặc nhiều loa:"
85183010,- - Tai nghe có khung chụp qua đầu
85183020,- - Tai nghe không có khung chụp qua đầu
85183040,- - Tay cầm nghe - nói của điện thoại hữu tuyến
#3774,- - Bộ micro/loa kết hợp khác:
85183051,- - - Dùng cho hàng hóa thuộc phân nhóm 8517.13.00 và 8517.14.00
85183059,- - - Loại khác
85183090,- - Loại khác
851840,- Thiết bị điện khuyếch đại âm tần:
85184020,- - Sử dụng như bộ lặp (nhắc lại) trong điện thoại hữu tuyến
85184030,"- - Sử dụng như bộ lặp (nhắc lại) trong điện thoại, trừ điện thoại hữu tuyến"
85184040,"- - Loại khác, có từ 6 đường tín hiệu đầu vào trở lên, có hoặc không kết hợp với phần tử dùng cho khuếch đại công suất"
85184090,- - Loại khác
851850,- Bộ tăng âm điện:
85185010,- - Có dải công suất từ 240 W trở lên
85185020,"- - Loại khác, có loa, loại thích hợp cho phát sóng, có giải điện áp từ 50 V trở lên nhưng không quá 100 V"
85185090,- - Loại khác
851890,- Bộ phận:
85189010,"- - Của hàng hóa thuộc phân nhóm 8518.10.11, 8518.29.20, 8518.30.40 hoặc 8518.40.20, kể cả mạch in đã lắp ráp "
85189020,- - Của hàng hóa thuộc phân nhóm 8518.40.40 
85189030,- - Của hàng hóa thuộc phân nhóm 8518.21 hoặc 8518.22
85189040,- - Của hàng hóa thuộc phân nhóm 8518.29.90
85189090,- - Loại khác
8519,Thiết bị ghi hoặc tái tạo âm thanh
851920,"- Thiết bị hoạt động bằng tiền xu, tiền giấy, thẻ ngân hàng, token hoặc bằng phương tiện thanh toán khác:"
85192010,"- - Máy ghi hoạt động bằng đồng xu, token hoặc đĩa"
85192090,- - Loại khác
85193000,- Đầu quay đĩa (có thể có bộ phận lưu trữ) nhưng không có bộ phận khuếch đại và không có bộ phận phát âm thanh (loa)
#3775,- Thiết bị khác:
851981,"- - Thiết bị truyền thông sử dụng công nghệ từ tính, quang học hoặc bán dẫn:"
85198110,"- - - Máy ghi âm cassette bỏ túi, kích thước không quá 170 mm x 100 mm x 45 mm "
85198120,"- - - Máy ghi âm cassette, có bộ phận khuếch đại và một hoặc nhiều loa, hoạt động chỉ bằng nguồn điện ngoài "
85198130,- - - Đầu đĩa compact
#3776,- - - Máy sao âm:
85198141,- - - - Loại dùng cho điện ảnh hoặc phát thanh 
85198149,- - - - Loại khác
85198150,"- - - Máy ghi điều lọc (dictating machines), loại chỉ hoạt động bằng nguồn điện ngoài"
#3777,"- - - Máy ghi băng từ có gắn với thiết bị tái tạo âm thanh, loại âm thanh số:"
85198161,- - - - Loại dùng cho điện ảnh hoặc phát thanh 
85198162,- - - - Máy trả lời điện thoại
85198169,- - - - Loại khác
#3778,"- - - Thiết bị tái tạo âm thanh khác, kiểu cassette:"
85198171,- - - - Loại dùng cho điện ảnh hoặc phát thanh (SEN)
85198179,- - - - Loại khác
#3779,- - - Loại khác:
85198191,- - - - Loại dùng cho điện ảnh hoặc phát thanh 
85198199,- - - - Loại khác
851989,- - Loại khác:
85198910,- - - Máy tái tạo âm thanh dùng trong điện ảnh
85198920,- - - Máy quay đĩa (record players) có hoặc không có loa 
85198930,- - - Loại dùng cho điện ảnh hoặc phát thanh 
85198940,- - - Thiết bị tái tạo âm thanh khác 
85198990,- - - Loại khác
8521,"Thiết bị ghi hoặc tái tạo video, có hoặc không gắn bộ phận thu tín hiệu video"
852110,- Loại dùng băng từ:
85211010,- - Loại dùng cho điện ảnh hoặc phát thanh truyền hình (SEN)
85211090,- - Loại khác
852190,- Loại khác:
#3780,- - Đầu đĩa laser:
85219011,- - - Loại dùng cho điện ảnh hoặc phát thanh truyền hình (SEN)
85219019,- - - Loại khác
#3781,- - Loại khác:
85219091,- - - Loại dùng cho điện ảnh hoặc phát thanh truyền hình (SEN)
85219099,- - - Loại khác
8522,Bộ phận và phụ kiện chỉ dùng hoặc chủ yếu dùng cho các thiết bị của nhóm 85.19 hoặc 85.21
85221000,- Cụm đầu đọc - ghi
852290,- Loại khác:
85229020,- - Tấm mạch in đã lắp ráp dùng cho máy trả lời điện thoại
85229030,- - Tấm mạch in đã lắp ráp dùng cho máy ghi hoặc tái tạo âm thanh dùng trong lĩnh vực điện ảnh 
85229040,- - Cơ cấu ghi hoặc đọc băng video hoặc audio và đĩa compact
85229050,"- - Đầu đọc hình hoặc âm thanh, kiểu từ tính; đầu và thanh xoá từ"
#3782,- - Loại khác:
85229091,- - - Bộ phận và phụ kiện khác của thiết bị ghi hoặc tái tạo âm thanh dùng trong điện ảnh
85229092,- - - Bộ phận khác của máy trả lời điện thoại
85229093,- - - Bộ phận và phụ kiện khác của hàng hóa thuộc phân nhóm 8519.81 hoặc nhóm 85.21 
85229099,- - - Loại khác
8523,"Đĩa, băng, các thiết bị lưu trữ bền vững, thể rắn, “thẻ thông minh” và các phương tiện lưu trữ thông tin khác để ghi âm thanh hoặc các nội dung, hình thức thể hiện khác, đã hoặc chưa ghi, kể cả bản khuôn mẫu và bản gốc để sản xuất băng đĩa, nhưng không bao gồm các sản phẩm của Chương 37"
#3783,- Phương tiện lưu trữ thông tin từ tính:
852321,- - Thẻ có dải từ:
85232110,- - - Chưa ghi
85232190,- - - Loại khác
852329,- - Loại khác:
#3784,"- - - Băng từ, có chiều rộng không quá 4 mm:"
#3785,- - - - Loại chưa ghi:
85232911,- - - - - Băng máy tính
85232919,- - - - - Loại khác
#3786,- - - - Loại khác:
85232921,- - - - - Băng video
85232929,- - - - - Loại khác
#3787,"- - - Băng từ, có chiều rộng trên 4 mm nhưng không quá 6,5 mm:"
#3788,- - - - Loại chưa ghi:
85232931,- - - - - Băng máy tính
85232933,- - - - - Băng video
85232939,- - - - - Loại khác
#3789,- - - - Loại khác:
85232941,- - - - - Băng máy tính
85232942,- - - - - Loại dùng cho điện ảnh
85232943,- - - - - Băng video khác
85232949,- - - - - Loại khác
#3790,"- - - Băng từ, có chiều rộng trên 6,5 mm:"
#3791,- - - - Loại chưa ghi:
85232951,- - - - - Băng máy tính
85232952,- - - - - Băng video
85232959,- - - - - Loại khác
#3792,- - - - Loại khác:
85232961,"- - - - - Loại sử dụng để tái tạo các tập lệnh, dữ liệu, âm thanh và hình ảnh, được ghi ở dạng mã nhị phân để máy có thể đọc được, và có thể thao tác hoặc có thể tương tác với người sử dụng, thông qua một máy xử lý dữ liệu tự động; phương tiện lưu trữ được định dạng riêng (đã ghi)"
85232962,- - - - - Loại dùng cho điện ảnh
85232963,- - - - - Băng video khác
85232969,- - - - - Loại khác
#3793,- - - Đĩa từ:
#3794,- - - - Loại chưa ghi:
85232971,- - - - - Đĩa cứng và đĩa mềm máy vi tính
85232979,- - - - - Loại khác
#3795,- - - - Loại khác:
#3796,- - - - - Loại để tái tạo các hiện tượng trừ âm thanh hoặc hình ảnh:
85232981,- - - - - - Loại dùng cho máy vi tính
85232982,- - - - - - Loại khác
85232983,"- - - - - Loại khác, loại sử dụng để tái tạo các tập lệnh, dữ liệu, âm thanh và hình ảnh, được ghi ở dạng mã nhị phân để máy có thể đọc được, và có thể thao tác hoặc có thể tương tác với người sử dụng, thông qua một máy xử lý dữ liệu tự động; phương tiện lưu trữ được định dạng riêng (đã ghi)"
85232985,"- - - - - Loại khác, chứa phim điện ảnh trừ phim thời sự, phim du lịch, phim kỹ thuật, phim khoa học, và phim tài liệu khác"
85232986,"- - - - - Loại khác, dùng cho điện ảnh"
85232989,- - - - - Loại khác
#3797,- - - Loại khác:
#3798,- - - - Loại chưa ghi:
85232991,- - - - - Loại dùng cho máy vi tính
85232992,- - - - - Loại khác
#3799,- - - - Loại khác:
#3800,- - - - - Loại để tái tạo các hiện tượng trừ âm thanh hoặc hình ảnh:
85232993,- - - - - - Loại dùng cho máy vi tính
85232994,- - - - - - Loại khác
85232995,"- - - - - Loại khác, loại sử dụng để tái tạo các tập lệnh, dữ liệu, âm thanh và hình ảnh, được ghi ở dạng mã nhị phân để máy có thể đọc được, và có thể thao tác hoặc có thể tương tác với người sử dụng, thông qua một máy xử lý dữ liệu tự động; phương tiện lưu trữ được định dạng riêng (đã ghi)"
85232999,- - - - - Loại khác
#3801,- Phương tiện lưu trữ thông tin quang học:
852341,- - Loại chưa ghi:
85234110,- - - Loại dùng cho máy vi tính
85234190,- - - Loại khác
852349,- - Loại khác:
#3802,- - - Đĩa dùng cho hệ thống đọc bằng laser:
85234911,- - - - Loại sử dụng để tái tạo các hiện tượng trừ âm thanh hoặc hình ảnh
#3803,- - - - Loại chỉ sử dụng để tái tạo âm thanh:
85234912,"- - - - - Đĩa chứa nội dung giáo dục, kỹ thuật, khoa học, lịch sử hoặc văn hóa"
85234913,- - - - - Loại khác
85234914,"- - - - Loại khác, loại sử dụng để tái tạo các tập lệnh, dữ liệu, âm thanh và hình ảnh, được ghi ở dạng mã nhị phân để máy có thể đọc được, và có thể thao tác hoặc có thể tương tác với người sử dụng, thông qua một máy xử lý dữ liệu tự động; phương tiện lưu trữ được định dạng riêng (đã ghi)"
85234915,"- - - - Loại khác, chứa phim điện ảnh trừ phim thời sự, phim du lịch, phim kỹ thuật, phim khoa học, và phim tài liệu khác"
85234916,"- - - - Loại khác, dùng cho điện ảnh"
85234919,- - - - Loại khác
#3804,- - - Loại khác:
85234991,- - - - Loại sử dụng để tái tạo các hiện tượng trừ âm thanh hoặc hình ảnh
85234992,- - - - Loại chỉ sử dụng để tái tạo âm thanh
85234993,"- - - - Loại khác, loại sử dụng để tái tạo các tập lệnh, dữ liệu, âm thanh và hình ảnh, được ghi ở dạng mã nhị phân để máy có thể đọc được, và có thể thao tác hoặc có thể tương tác với người sử dụng, thông qua một máy xử lý dữ liệu tự động; phương tiện lưu trữ được định dạng riêng (đã ghi)"
85234999,- - - - Loại khác
#3805,- Phương tiện lưu trữ thông tin bán dẫn:
852351,"- - Các thiết bị lưu trữ bền vững, thể rắn:"
#3806,- - - Loại chưa ghi:
85235111,- - - - Loại dùng cho máy vi tính
85235119,- - - - Loại khác
#3807,- - - Loại khác:
#3808,- - - - Loại để tái tạo các hiện tượng trừ âm thanh hoặc hình ảnh:
85235121,- - - - - Loại dùng cho máy vi tính
85235129,- - - - - Loại khác
85235130,"- - - - Loại khác, loại sử dụng để tái tạo các tập lệnh, dữ liệu, âm thanh và hình ảnh, được ghi ở dạng mã nhị phân để máy có thể đọc được, và có thể thao tác hoặc có thể tương tác với người sử dụng, thông qua một máy xử lý dữ liệu tự động; phương tiện lưu trữ được định dạng riêng (đã ghi)"
#3809,- - - - Loại khác:
85235191,"- - - - - Loại khác, chứa phim điện ảnh trừ phim thời sự, phim du lịch, phim kỹ thuật, phim khoa học, và phim tài liệu khác"
85235192,"- - - - - Loại khác, dùng cho điện ảnh"
85235199,- - - - - Loại khác
85235200,"- - ""Thẻ thông minh"""
852359,- - Loại khác:
85235910,"- - - Thẻ không tiếp xúc (dạng ""card"" và dạng ""tag"")(*)"
#3810,"- - - Loại khác, chưa ghi:"
85235921,- - - - Loại dùng cho máy vi tính
85235929,- - - - Loại khác
#3811,- - - Loại khác:
85235930,- - - - Loại sử dụng để tái tạo các hiện tượng trừ âm thanh hoặc hình ảnh
85235940,"- - - - Loại khác, loại sử dụng để tái tạo các tập lệnh, dữ liệu, âm thanh và hình ảnh, được ghi ở dạng mã nhị phân để máy có thể đọc được, và có thể thao tác hoặc có thể tương tác với người sử dụng, thông qua một máy xử lý dữ liệu tự động; phương tiện lưu trữ được định dạng riêng (đã ghi)"
85235990,- - - - Loại khác
852380,- Loại khác:
85238040,- - Đĩa ghi âm sử dụng kỹ thuật analog
#3812,"- - Loại khác, chưa ghi:"
85238051,- - - Loại dùng cho máy vi tính
